#OTU ID	Taxonomy
OTU_1038	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Capnodiales; s__
OTU_1039	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__Didymellaceae
OTU_104	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__
OTU_1040	k__Eukaryota; p__Charophyta; c__Tracheophyta; o__Spermatophyta; f__Magnoliophyta; g__; s__
OTU_1041	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__Didymellaceae
OTU_1042	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Dothideales; s__Aureobasidiaceae
OTU_1043	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__Didymellaceae
OTU_1044	k__; p__; c__; o__; f__; g__; s__
OTU_1045	k__; p__; c__; o__; f__; g__; s__
OTU_1046	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__Didymellaceae
OTU_1047	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__Didymellaceae
OTU_1048	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__; g__; s__
OTU_1049	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_105	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__Acidovorax sp.
OTU_1050	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__Didymellaceae
OTU_1051	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1052	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Dothideales; s__Aureobasidiaceae
OTU_1053	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1054	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1055	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__Didymellaceae
OTU_1056	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__
OTU_1057	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__Didymellaceae
OTU_1058	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_1059	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Sordariomycetes; g__; s__
OTU_106	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__Stenotrophomonas sp.
OTU_1060	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__Didymellaceae
OTU_1061	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__; g__; s__
OTU_1062	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__; g__; s__
OTU_1063	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_1064	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__Didymellaceae
OTU_1065	k__; p__; c__; o__; f__; g__; s__
OTU_1066	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__Didymellaceae
OTU_1067	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1068	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__Didymellaceae
OTU_1069	k__; p__; c__; o__; f__; g__; s__
OTU_107	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia; s__Delftia acidovorans
OTU_1070	k__; p__; c__; o__; f__; g__; s__
OTU_1071	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1072	k__; p__; c__; o__; f__; g__; s__
OTU_1073	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Leotiomyceta Incertae Sedis; g__Candelariales; s__
OTU_1074	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__Didymellaceae
OTU_1075	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__Didymellaceae
OTU_1076	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_1077	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_1078	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1079	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Capnodiales; s__
OTU_108	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Saccharomycotina; f__; g__; s__
OTU_1080	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1081	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__
OTU_1082	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__; g__; s__
OTU_1083	k__; p__; c__; o__; f__; g__; s__
OTU_1084	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__
OTU_1085	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__; g__; s__
OTU_1086	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__; g__; s__
OTU_1087	k__; p__; c__; o__; f__; g__; s__
OTU_1088	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__Didymellaceae
OTU_1089	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__; g__; s__
OTU_109	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus sp. (in: Bacteria)
OTU_1090	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__; g__; s__
OTU_1091	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Leotiomyceta Incertae Sedis; g__; s__
OTU_1092	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Capnodiales; s__Cladosporiaceae
OTU_1093	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_1094	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_1095	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Leotiomyceta Incertae Sedis; g__Candelariales; s__
OTU_1096	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1097	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__; g__; s__
OTU_1098	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_1099	k__; p__; c__; o__; f__; g__; s__
OTU_11	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Shewanellaceae; g__Shewanella; s__
OTU_110	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus circulans subsp. circulans
OTU_1100	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__; g__; s__
OTU_1101	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1102	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Capnodiales; s__Cladosporiaceae
OTU_1103	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1104	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1105	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1106	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_1107	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Capnodiales; s__Teratosphaeriaceae
OTU_1108	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__
OTU_1109	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Leotiomyceta Incertae Sedis; g__Candelariales; s__Pycnoraceae
OTU_111	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Limnohabitans; s__Limnohabitans sp. Rim49
OTU_1110	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__
OTU_1111	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1112	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Leotiomyceta Incertae Sedis; g__Candelariales; s__Pycnoraceae
OTU_1113	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Capnodiales; s__Teratosphaeriaceae
OTU_1114	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__; g__; s__
OTU_1115	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Leotiomyceta Incertae Sedis; g__Candelariales; s__Pycnoraceae
OTU_1116	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Capnodiales; s__
OTU_1117	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1118	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Leotiomyceta Incertae Sedis; g__; s__
OTU_1119	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Capnodiales; s__
OTU_112	k__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Solirubrobacter; s__
OTU_1120	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__; g__; s__
OTU_1121	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__; g__; s__
OTU_1122	k__; p__; c__; o__; f__; g__; s__
OTU_1123	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_1124	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Leotiomyceta Incertae Sedis; g__Candelariales; s__Pycnoraceae
OTU_1125	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Leotiomyceta Incertae Sedis; g__Candelariales; s__
OTU_1126	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1127	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1128	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_1129	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_113	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Selenomonadaceae; g__Anaerovibrio; s__
OTU_1130	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Leotiomycetes; g__Helotiales; s__Sclerotiniaceae
OTU_1131	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_1132	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Leotiomyceta Incertae Sedis; g__Candelariales; s__
OTU_1133	k__; p__; c__; o__; f__; g__; s__
OTU_1134	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Leotiomyceta Incertae Sedis; g__Candelariales; s__Pycnoraceae
OTU_1135	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__; g__; s__
OTU_1136	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Leotiomyceta Incertae Sedis; g__Candelariales; s__Pycnoraceae
OTU_1137	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Capnodiales; s__Cladosporiaceae
OTU_1138	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Capnodiales; s__Mycosphaerellaceae
OTU_1139	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Leotiomycetes; g__Helotiales; s__
OTU_114	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus thermolactis
OTU_1140	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Capnodiales; s__Mycosphaerellaceae
OTU_1141	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Capnodiales; s__Mycosphaerellaceae
OTU_1142	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1143	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__; g__; s__
OTU_1144	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_1145	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Capnodiales; s__
OTU_1146	k__; p__; c__; o__; f__; g__; s__
OTU_1147	k__; p__; c__; o__; f__; g__; s__
OTU_1148	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Capnodiales; s__
OTU_1149	k__; p__; c__; o__; f__; g__; s__
OTU_115	k__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus; s__Paenibacillus taiwanensis
OTU_1150	k__; p__; c__; o__; f__; g__; s__
OTU_1151	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Leotiomyceta Incertae Sedis; g__Candelariales; s__
OTU_1152	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Leotiomyceta Incertae Sedis; g__Candelariales; s__Pycnoraceae
OTU_1153	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Capnodiales; s__Mycosphaerellaceae
OTU_1154	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Capnodiales; s__Mycosphaerellaceae
OTU_1155	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Capnodiales; s__
OTU_1156	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_1157	k__; p__; c__; o__; f__; g__; s__
OTU_1158	k__; p__; c__; o__; f__; g__; s__
OTU_1159	k__; p__; c__; o__; f__; g__; s__
OTU_116	k__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcaceae bacterium b1_i1
OTU_1160	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1161	k__; p__; c__; o__; f__; g__; s__
OTU_1162	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Leotiomyceta Incertae Sedis; g__Candelariales; s__
OTU_1163	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Capnodiales; s__Mycosphaerellaceae
OTU_1164	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Leotiomyceta Incertae Sedis; g__Candelariales; s__
OTU_1165	k__; p__; c__; o__; f__; g__; s__
OTU_1166	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1167	k__; p__; c__; o__; f__; g__; s__
OTU_1168	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Saccharomycotina; f__; g__; s__
OTU_1169	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_117	k__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Fontibacillus; s__Paenibacillus vini
OTU_1170	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1171	k__; p__; c__; o__; f__; g__; s__
OTU_1172	k__; p__; c__; o__; f__; g__; s__
OTU_1173	k__Eukaryota; p__Opisthokonta; c__Basidiomycota; o__Pucciniomycotina; f__Pucciniomycetes; g__Pucciniales; s__Pucciniaceae
OTU_1174	k__; p__; c__; o__; f__; g__; s__
OTU_1175	k__; p__; c__; o__; f__; g__; s__
OTU_1176	k__; p__; c__; o__; f__; g__; s__
OTU_1177	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1178	k__; p__; c__; o__; f__; g__; s__
OTU_1179	k__Eukaryota; p__Chlorophyta; c__; o__; f__; g__; s__
OTU_118	k__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus; s__
OTU_1180	k__; p__; c__; o__; f__; g__; s__
OTU_1181	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1182	k__; p__; c__; o__; f__; g__; s__
OTU_1183	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1184	k__Eukaryota; p__Chlorophyta; c__; o__; f__; g__; s__
OTU_1185	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus cereus
OTU_1186	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1187	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1188	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1189	k__Eukaryota; p__Chlorophyta; c__; o__; f__; g__; s__
OTU_119	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Carnobacterium; s__Carnobacterium inhibens
OTU_1190	k__Eukaryota; p__Opisthokonta; c__Basidiomycota; o__Agaricomycotina; f__; g__; s__
OTU_1191	k__; p__; c__; o__; f__; g__; s__
OTU_1192	k__; p__; c__; o__; f__; g__; s__
OTU_1193	k__; p__; c__; o__; f__; g__; s__
OTU_1194	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1195	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1196	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus cereus
OTU_1197	k__; p__; c__; o__; f__; g__; s__
OTU_1198	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1199	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_12	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Apilactobacillus; s__
OTU_120	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
OTU_1200	k__Eukaryota; p__Chlorophyta; c__; o__; f__; g__; s__
OTU_1201	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1202	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1203	k__Eukaryota; p__Opisthokonta; c__Animalia; o__BCP clade; f__Bilateria; g__Protostomia; s__Ecdysozoa
OTU_1204	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1205	k__; p__; c__; o__; f__; g__; s__
OTU_1206	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Saccharomycotina; f__Saccharomycetes; g__Saccharomycetales; s__
OTU_1207	k__; p__; c__; o__; f__; g__; s__
OTU_1208	k__; p__; c__; o__; f__; g__; s__
OTU_1209	k__; p__; c__; o__; f__; g__; s__
OTU_121	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Fructobacillus; s__Fructobacillus fructosus
OTU_1210	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1211	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Saccharomycotina; f__Saccharomycetes; g__Saccharomycetales; s__Incertae Sedis
OTU_1212	k__Eukaryota; p__Chlorophyta; c__; o__; f__; g__; s__
OTU_1213	k__; p__; c__; o__; f__; g__; s__
OTU_1214	k__; p__; c__; o__; f__; g__; s__
OTU_1215	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Saccharomycotina; f__Saccharomycetes; g__Saccharomycetales; s__
OTU_1216	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Saccharomycotina; f__Saccharomycetes; g__Saccharomycetales; s__Incertae Sedis
OTU_1217	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Saccharomycotina; f__Saccharomycetes; g__Saccharomycetales; s__Incertae Sedis
OTU_1218	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Saccharomycotina; f__Saccharomycetes; g__Saccharomycetales; s__Incertae Sedis
OTU_1219	k__; p__; c__; o__; f__; g__; s__
OTU_122	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Shewanellaceae; g__Shewanella; s__
OTU_1220	k__; p__; c__; o__; f__; g__; s__
OTU_1221	k__; p__; c__; o__; f__; g__; s__
OTU_1222	k__; p__; c__; o__; f__; g__; s__
OTU_1223	k__; p__; c__; o__; f__; g__; s__
OTU_1224	k__Eukaryota; p__Chlorophyta; c__; o__; f__; g__; s__
OTU_1225	k__Eukaryota; p__; c__; o__; f__; g__; s__
